After 15000 sentences: Train Accuracy = 0.9855, Dev Accuracy = 0.8247, Time = 3.36s, Estimated Time Left = -0.09s
Epoch 4: Train Loss = 4.8757, Dev Loss = 5.0386
Epoch 4: Loss = 5.0386
After 500 sentences: Train Accuracy = 0.9928, Dev Accuracy = 0.8230, Time = 3.32s, Estimated Time Left = 96.11s
After 1000 sentences: Train Accuracy = 0.9922, Dev Accuracy = 0.8236, Time = 3.30s, Estimated Time Left = 92.19s
After 1500 sentences: Train Accuracy = 0.9874, Dev Accuracy = 0.8235, Time = 3.27s, Estimated Time Left = 88.18s
After 2000 sentences: Train Accuracy = 0.9830, Dev Accuracy = 0.8257, Time = 3.27s, Estimated Time Left = 85.00s
After 2500 sentences: Train Accuracy = 0.9963, Dev Accuracy = 0.8242, Time = 3.28s, Estimated Time Left = 81.92s
After 3000 sentences: Train Accuracy = 0.9823, Dev Accuracy = 0.8254, Time = 3.30s, Estimated Time Left = 79.04s
After 3500 sentences: Train Accuracy = 0.9851, Dev Accuracy = 0.8236, Time = 3.31s, Estimated Time Left = 75.97s
After 4000 sentences: Train Accuracy = 0.9869, Dev Accuracy = 0.8207, Time = 3.30s, Estimated Time Left = 72.53s
After 4500 sentences: Train Accuracy = 0.9855, Dev Accuracy = 0.8222, Time = 3.31s, Estimated Time Left = 69.33s
After 5000 sentences: Train Accuracy = 0.9868, Dev Accuracy = 0.8231, Time = 3.31s, Estimated Time Left = 66.08s
After 5500 sentences: Train Accuracy = 0.9872, Dev Accuracy = 0.8224, Time = 3.31s, Estimated Time Left = 62.83s
After 6000 sentences: Train Accuracy = 0.9919, Dev Accuracy = 0.8244, Time = 3.31s, Estimated Time Left = 59.52s
After 6500 sentences: Train Accuracy = 0.9943, Dev Accuracy = 0.8234, Time = 3.31s, Estimated Time Left = 56.25s
After 7000 sentences: Train Accuracy = 0.9908, Dev Accuracy = 0.8229, Time = 3.31s, Estimated Time Left = 52.91s
After 7500 sentences: Train Accuracy = 0.9853, Dev Accuracy = 0.8217, Time = 3.31s, Estimated Time Left = 49.57s
After 8000 sentences: Train Accuracy = 0.9843, Dev Accuracy = 0.8226, Time = 3.31s, Estimated Time Left = 46.19s
After 8500 sentences: Train Accuracy = 0.9933, Dev Accuracy = 0.8218, Time = 3.31s, Estimated Time Left = 42.89s
After 9000 sentences: Train Accuracy = 0.9860, Dev Accuracy = 0.8234, Time = 3.30s, Estimated Time Left = 39.56s
After 9500 sentences: Train Accuracy = 0.9948, Dev Accuracy = 0.8241, Time = 3.30s, Estimated Time Left = 36.24s
After 10000 sentences: Train Accuracy = 0.9857, Dev Accuracy = 0.8229, Time = 3.31s, Estimated Time Left = 32.98s
After 10500 sentences: Train Accuracy = 0.9902, Dev Accuracy = 0.8228, Time = 3.31s, Estimated Time Left = 29.67s
After 11000 sentences: Train Accuracy = 0.9892, Dev Accuracy = 0.8243, Time = 3.31s, Estimated Time Left = 26.39s
After 11500 sentences: Train Accuracy = 0.9904, Dev Accuracy = 0.8222, Time = 3.31s, Estimated Time Left = 23.07s
After 12000 sentences: Train Accuracy = 0.9950, Dev Accuracy = 0.8227, Time = 3.31s, Estimated Time Left = 19.79s
After 12500 sentences: Train Accuracy = 0.9872, Dev Accuracy = 0.8230, Time = 3.31s, Estimated Time Left = 16.49s
After 13000 sentences: Train Accuracy = 0.9867, Dev Accuracy = 0.8253, Time = 3.32s, Estimated Time Left = 13.18s
After 13500 sentences: Train Accuracy = 0.9929, Dev Accuracy = 0.8254, Time = 3.32s, Estimated Time Left = 9.88s
After 14000 sentences: Train Accuracy = 0.9895, Dev Accuracy = 0.8222, Time = 3.32s, Estimated Time Left = 6.56s
After 14500 sentences: Train Accuracy = 0.9983, Dev Accuracy = 0.8233, Time = 3.32s, Estimated Time Left = 3.24s
After 15000 sentences: Train Accuracy = 0.9937, Dev Accuracy = 0.8221, Time = 3.32s, Estimated Time Left = -0.09s
Epoch 5: Train Loss = 4.9745, Dev Loss = 4.8707
Epoch 5: Loss = 4.8707
