After 9000 sentences: Train Accuracy = 0.9774, Dev Accuracy = 0.9594, Time = 3.11s, Estimated Time Left = 179.53s
After 9500 sentences: Train Accuracy = 0.9745, Dev Accuracy = 0.9594, Time = 3.11s, Estimated Time Left = 176.35s
After 10000 sentences: Train Accuracy = 0.9760, Dev Accuracy = 0.9590, Time = 3.12s, Estimated Time Left = 173.46s
After 10500 sentences: Train Accuracy = 0.9792, Dev Accuracy = 0.9599, Time = 3.12s, Estimated Time Left = 170.59s
After 11000 sentences: Train Accuracy = 0.9796, Dev Accuracy = 0.9596, Time = 3.12s, Estimated Time Left = 167.55s
After 11500 sentences: Train Accuracy = 0.9745, Dev Accuracy = 0.9592, Time = 3.12s, Estimated Time Left = 164.10s
After 12000 sentences: Train Accuracy = 0.9757, Dev Accuracy = 0.9596, Time = 3.11s, Estimated Time Left = 160.67s
After 12500 sentences: Train Accuracy = 0.9738, Dev Accuracy = 0.9598, Time = 3.11s, Estimated Time Left = 157.49s
After 13000 sentences: Train Accuracy = 0.9784, Dev Accuracy = 0.9593, Time = 3.10s, Estimated Time Left = 154.16s
After 13500 sentences: Train Accuracy = 0.9787, Dev Accuracy = 0.9594, Time = 3.10s, Estimated Time Left = 150.66s
After 14000 sentences: Train Accuracy = 0.9759, Dev Accuracy = 0.9590, Time = 3.10s, Estimated Time Left = 147.83s
After 14500 sentences: Train Accuracy = 0.9764, Dev Accuracy = 0.9596, Time = 3.10s, Estimated Time Left = 144.85s
After 15000 sentences: Train Accuracy = 0.9744, Dev Accuracy = 0.9593, Time = 3.10s, Estimated Time Left = 141.71s
After 15500 sentences: Train Accuracy = 0.9755, Dev Accuracy = 0.9598, Time = 3.10s, Estimated Time Left = 138.59s
After 16000 sentences: Train Accuracy = 0.9730, Dev Accuracy = 0.9604, Time = 3.10s, Estimated Time Left = 135.34s
After 16500 sentences: Train Accuracy = 0.9759, Dev Accuracy = 0.9593, Time = 3.10s, Estimated Time Left = 132.23s
After 17000 sentences: Train Accuracy = 0.9764, Dev Accuracy = 0.9581, Time = 3.10s, Estimated Time Left = 129.02s
After 17500 sentences: Train Accuracy = 0.9764, Dev Accuracy = 0.9598, Time = 3.09s, Estimated Time Left = 125.80s
After 18000 sentences: Train Accuracy = 0.9789, Dev Accuracy = 0.9594, Time = 3.09s, Estimated Time Left = 122.62s
After 18500 sentences: Train Accuracy = 0.9816, Dev Accuracy = 0.9600, Time = 3.09s, Estimated Time Left = 119.44s
After 19000 sentences: Train Accuracy = 0.9795, Dev Accuracy = 0.9595, Time = 3.09s, Estimated Time Left = 116.37s
After 19500 sentences: Train Accuracy = 0.9735, Dev Accuracy = 0.9599, Time = 3.09s, Estimated Time Left = 113.42s
After 20000 sentences: Train Accuracy = 0.9767, Dev Accuracy = 0.9598, Time = 3.10s, Estimated Time Left = 110.42s
After 20500 sentences: Train Accuracy = 0.9771, Dev Accuracy = 0.9597, Time = 3.10s, Estimated Time Left = 107.43s
After 21000 sentences: Train Accuracy = 0.9774, Dev Accuracy = 0.9591, Time = 3.10s, Estimated Time Left = 104.44s
After 21500 sentences: Train Accuracy = 0.9725, Dev Accuracy = 0.9594, Time = 3.10s, Estimated Time Left = 101.39s
After 22000 sentences: Train Accuracy = 0.9810, Dev Accuracy = 0.9591, Time = 3.10s, Estimated Time Left = 98.26s
After 22500 sentences: Train Accuracy = 0.9791, Dev Accuracy = 0.9598, Time = 3.11s, Estimated Time Left = 95.25s
After 23000 sentences: Train Accuracy = 0.9739, Dev Accuracy = 0.9599, Time = 3.11s, Estimated Time Left = 92.17s
After 23500 sentences: Train Accuracy = 0.9763, Dev Accuracy = 0.9591, Time = 3.11s, Estimated Time Left = 89.03s
After 24000 sentences: Train Accuracy = 0.9800, Dev Accuracy = 0.9593, Time = 3.10s, Estimated Time Left = 85.80s
After 24500 sentences: Train Accuracy = 0.9779, Dev Accuracy = 0.9591, Time = 3.10s, Estimated Time Left = 82.66s
After 25000 sentences: Train Accuracy = 0.9759, Dev Accuracy = 0.9602, Time = 3.10s, Estimated Time Left = 79.59s
After 25500 sentences: Train Accuracy = 0.9808, Dev Accuracy = 0.9594, Time = 3.10s, Estimated Time Left = 76.52s
After 26000 sentences: Train Accuracy = 0.9759, Dev Accuracy = 0.9600, Time = 3.10s, Estimated Time Left = 73.35s
After 26500 sentences: Train Accuracy = 0.9771, Dev Accuracy = 0.9592, Time = 3.10s, Estimated Time Left = 70.29s
After 27000 sentences: Train Accuracy = 0.9778, Dev Accuracy = 0.9598, Time = 3.10s, Estimated Time Left = 67.22s
After 27500 sentences: Train Accuracy = 0.9741, Dev Accuracy = 0.9589, Time = 3.10s, Estimated Time Left = 64.11s
After 28000 sentences: Train Accuracy = 0.9769, Dev Accuracy = 0.9598, Time = 3.10s, Estimated Time Left = 61.00s
After 28500 sentences: Train Accuracy = 0.9756, Dev Accuracy = 0.9597, Time = 3.10s, Estimated Time Left = 57.86s
After 29000 sentences: Train Accuracy = 0.9794, Dev Accuracy = 0.9597, Time = 3.10s, Estimated Time Left = 54.74s
After 29500 sentences: Train Accuracy = 0.9771, Dev Accuracy = 0.9589, Time = 3.10s, Estimated Time Left = 51.61s
After 30000 sentences: Train Accuracy = 0.9742, Dev Accuracy = 0.9592, Time = 3.10s, Estimated Time Left = 48.49s
After 30500 sentences: Train Accuracy = 0.9755, Dev Accuracy = 0.9585, Time = 3.10s, Estimated Time Left = 45.41s
After 31000 sentences: Train Accuracy = 0.9769, Dev Accuracy = 0.9590, Time = 3.10s, Estimated Time Left = 42.30s
After 31500 sentences: Train Accuracy = 0.9758, Dev Accuracy = 0.9598, Time = 3.10s, Estimated Time Left = 39.23s
After 32000 sentences: Train Accuracy = 0.9784, Dev Accuracy = 0.9593, Time = 3.10s, Estimated Time Left = 36.13s
After 32500 sentences: Train Accuracy = 0.9757, Dev Accuracy = 0.9593, Time = 3.10s, Estimated Time Left = 33.04s
After 33000 sentences: Train Accuracy = 0.9794, Dev Accuracy = 0.9596, Time = 3.10s, Estimated Time Left = 29.95s
After 33500 sentences: Train Accuracy = 0.9787, Dev Accuracy = 0.9597, Time = 3.10s, Estimated Time Left = 26.88s
After 34000 sentences: Train Accuracy = 0.9768, Dev Accuracy = 0.9592, Time = 3.10s, Estimated Time Left = 23.77s
After 34500 sentences: Train Accuracy = 0.9754, Dev Accuracy = 0.9588, Time = 3.10s, Estimated Time Left = 20.67s
After 35000 sentences: Train Accuracy = 0.9768, Dev Accuracy = 0.9590, Time = 3.10s, Estimated Time Left = 17.57s
After 35500 sentences: Train Accuracy = 0.9751, Dev Accuracy = 0.9596, Time = 3.10s, Estimated Time Left = 14.47s
After 36000 sentences: Train Accuracy = 0.9733, Dev Accuracy = 0.9593, Time = 3.10s, Estimated Time Left = 11.37s
After 36500 sentences: Train Accuracy = 0.9760, Dev Accuracy = 0.9594, Time = 3.10s, Estimated Time Left = 8.27s
After 37000 sentences: Train Accuracy = 0.9744, Dev Accuracy = 0.9589, Time = 3.10s, Estimated Time Left = 5.17s
After 37500 sentences: Train Accuracy = 0.9766, Dev Accuracy = 0.9595, Time = 3.11s, Estimated Time Left = 2.06s
Epoch 2: Train Loss = 107.5071, Dev Loss = 110.3170
Epoch 2: Loss = 110.3170
After 500 sentences: Train Accuracy = 0.9790, Dev Accuracy = 0.9602, Time = 3.07s, Estimated Time Left = 229.36s
After 1000 sentences: Train Accuracy = 0.9780, Dev Accuracy = 0.9602, Time = 3.07s, Estimated Time Left = 225.93s
After 1500 sentences: Train Accuracy = 0.9756, Dev Accuracy = 0.9597, Time = 3.01s, Estimated Time Left = 218.98s
After 2000 sentences: Train Accuracy = 0.9791, Dev Accuracy = 0.9594, Time = 3.00s, Estimated Time Left = 215.30s
After 2500 sentences: Train Accuracy = 0.9776, Dev Accuracy = 0.9602, Time = 3.00s, Estimated Time Left = 212.12s
After 3000 sentences: Train Accuracy = 0.9707, Dev Accuracy = 0.9598, Time = 3.00s, Estimated Time Left = 209.11s
After 3500 sentences: Train Accuracy = 0.9753, Dev Accuracy = 0.9595, Time = 3.01s, Estimated Time Left = 206.58s
After 4000 sentences: Train Accuracy = 0.9747, Dev Accuracy = 0.9600, Time = 3.01s, Estimated Time Left = 203.55s
After 4500 sentences: Train Accuracy = 0.9781, Dev Accuracy = 0.9598, Time = 3.04s, Estimated Time Left = 202.93s
After 5000 sentences: Train Accuracy = 0.9773, Dev Accuracy = 0.9597, Time = 3.04s, Estimated Time Left = 199.62s
After 5500 sentences: Train Accuracy = 0.9781, Dev Accuracy = 0.9594, Time = 3.04s, Estimated Time Left = 196.72s
After 6000 sentences: Train Accuracy = 0.9728, Dev Accuracy = 0.9598, Time = 3.04s, Estimated Time Left = 193.78s
After 6500 sentences: Train Accuracy = 0.9778, Dev Accuracy = 0.9593, Time = 3.05s, Estimated Time Left = 191.21s
After 7000 sentences: Train Accuracy = 0.9753, Dev Accuracy = 0.9597, Time = 3.05s, Estimated Time Left = 188.29s
After 7500 sentences: Train Accuracy = 0.9779, Dev Accuracy = 0.9598, Time = 3.06s, Estimated Time Left = 185.60s
After 8000 sentences: Train Accuracy = 0.9803, Dev Accuracy = 0.9594, Time = 3.06s, Estimated Time Left = 182.50s
After 8500 sentences: Train Accuracy = 0.9738, Dev Accuracy = 0.9594, Time = 3.07s, Estimated Time Left = 180.12s
After 9000 sentences: Train Accuracy = 0.9747, Dev Accuracy = 0.9599, Time = 3.08s, Estimated Time Left = 177.38s
After 9500 sentences: Train Accuracy = 0.9724, Dev Accuracy = 0.9599, Time = 3.08s, Estimated Time Left = 174.28s
After 10000 sentences: Train Accuracy = 0.9779, Dev Accuracy = 0.9589, Time = 3.08s, Estimated Time Left = 171.54s
After 10500 sentences: Train Accuracy = 0.9783, Dev Accuracy = 0.9601, Time = 3.09s, Estimated Time Left = 168.75s
After 11000 sentences: Train Accuracy = 0.9770, Dev Accuracy = 0.9591, Time = 3.09s, Estimated Time Left = 165.58s
After 11500 sentences: Train Accuracy = 0.9775, Dev Accuracy = 0.9597, Time = 3.10s, Estimated Time Left = 163.01s
After 12000 sentences: Train Accuracy = 0.9774, Dev Accuracy = 0.9592, Time = 3.10s, Estimated Time Left = 159.94s
After 12500 sentences: Train Accuracy = 0.9771, Dev Accuracy = 0.9596, Time = 3.10s, Estimated Time Left = 157.14s
After 13000 sentences: Train Accuracy = 0.9770, Dev Accuracy = 0.9593, Time = 3.11s, Estimated Time Left = 154.42s
After 13500 sentences: Train Accuracy = 0.9781, Dev Accuracy = 0.9593, Time = 3.11s, Estimated Time Left = 151.57s
After 14000 sentences: Train Accuracy = 0.9766, Dev Accuracy = 0.9591, Time = 3.12s, Estimated Time Left = 148.56s
After 14500 sentences: Train Accuracy = 0.9765, Dev Accuracy = 0.9591, Time = 3.12s, Estimated Time Left = 145.63s
After 15000 sentences: Train Accuracy = 0.9749, Dev Accuracy = 0.9593, Time = 3.12s, Estimated Time Left = 142.60s
After 15500 sentences: Train Accuracy = 0.9771, Dev Accuracy = 0.9601, Time = 3.13s, Estimated Time Left = 139.69s
After 16000 sentences: Train Accuracy = 0.9793, Dev Accuracy = 0.9592, Time = 3.13s, Estimated Time Left = 136.60s
After 16500 sentences: Train Accuracy = 0.9751, Dev Accuracy = 0.9600, Time = 3.12s, Estimated Time Left = 133.26s
After 17000 sentences: Train Accuracy = 0.9715, Dev Accuracy = 0.9590, Time = 3.12s, Estimated Time Left = 130.16s
After 17500 sentences: Train Accuracy = 0.9733, Dev Accuracy = 0.9590, Time = 3.13s, Estimated Time Left = 127.16s
After 18000 sentences: Train Accuracy = 0.9769, Dev Accuracy = 0.9591, Time = 3.13s, Estimated Time Left = 124.07s
After 18500 sentences: Train Accuracy = 0.9808, Dev Accuracy = 0.9597, Time = 3.13s, Estimated Time Left = 120.88s
After 19000 sentences: Train Accuracy = 0.9744, Dev Accuracy = 0.9591, Time = 3.12s, Estimated Time Left = 117.66s
After 19500 sentences: Train Accuracy = 0.9804, Dev Accuracy = 0.9595, Time = 3.12s, Estimated Time Left = 114.39s
After 20000 sentences: Train Accuracy = 0.9746, Dev Accuracy = 0.9599, Time = 3.12s, Estimated Time Left = 111.27s
After 20500 sentences: Train Accuracy = 0.9779, Dev Accuracy = 0.9595, Time = 3.12s, Estimated Time Left = 108.27s
After 21000 sentences: Train Accuracy = 0.9796, Dev Accuracy = 0.9593, Time = 3.12s, Estimated Time Left = 105.09s
After 21500 sentences: Train Accuracy = 0.9738, Dev Accuracy = 0.9595, Time = 3.12s, Estimated Time Left = 102.02s
After 22000 sentences: Train Accuracy = 0.9784, Dev Accuracy = 0.9599, Time = 3.13s, Estimated Time Left = 99.09s
After 22500 sentences: Train Accuracy = 0.9759, Dev Accuracy = 0.9594, Time = 3.13s, Estimated Time Left = 96.05s
After 23000 sentences: Train Accuracy = 0.9756, Dev Accuracy = 0.9598, Time = 3.13s, Estimated Time Left = 92.96s
After 23500 sentences: Train Accuracy = 0.9763, Dev Accuracy = 0.9590, Time = 3.13s, Estimated Time Left = 89.82s
After 24000 sentences: Train Accuracy = 0.9787, Dev Accuracy = 0.9596, Time = 3.13s, Estimated Time Left = 86.68s
After 24500 sentences: Train Accuracy = 0.9753, Dev Accuracy = 0.9599, Time = 3.13s, Estimated Time Left = 83.57s
After 25000 sentences: Train Accuracy = 0.9746, Dev Accuracy = 0.9600, Time = 3.14s, Estimated Time Left = 80.47s
After 25500 sentences: Train Accuracy = 0.9778, Dev Accuracy = 0.9591, Time = 3.13s, Estimated Time Left = 77.30s
After 26000 sentences: Train Accuracy = 0.9771, Dev Accuracy = 0.9589, Time = 3.14s, Estimated Time Left = 74.27s
After 26500 sentences: Train Accuracy = 0.9768, Dev Accuracy = 0.9589, Time = 3.14s, Estimated Time Left = 71.11s
After 27000 sentences: Train Accuracy = 0.9769, Dev Accuracy = 0.9599, Time = 3.14s, Estimated Time Left = 68.03s
After 27500 sentences: Train Accuracy = 0.9755, Dev Accuracy = 0.9586, Time = 3.14s, Estimated Time Left = 64.89s
After 28000 sentences: Train Accuracy = 0.9778, Dev Accuracy = 0.9593, Time = 3.14s, Estimated Time Left = 61.74s
After 28500 sentences: Train Accuracy = 0.9769, Dev Accuracy = 0.9593, Time = 3.14s, Estimated Time Left = 58.60s
After 29000 sentences: Train Accuracy = 0.9743, Dev Accuracy = 0.9588, Time = 3.14s, Estimated Time Left = 55.45s
After 29500 sentences: Train Accuracy = 0.9775, Dev Accuracy = 0.9599, Time = 3.14s, Estimated Time Left = 52.33s
After 30000 sentences: Train Accuracy = 0.9741, Dev Accuracy = 0.9597, Time = 3.14s, Estimated Time Left = 49.20s
After 30500 sentences: Train Accuracy = 0.9721, Dev Accuracy = 0.9592, Time = 3.14s, Estimated Time Left = 46.08s
After 31000 sentences: Train Accuracy = 0.9798, Dev Accuracy = 0.9595, Time = 3.14s, Estimated Time Left = 42.96s
After 31500 sentences: Train Accuracy = 0.9764, Dev Accuracy = 0.9593, Time = 3.14s, Estimated Time Left = 39.81s
After 32000 sentences: Train Accuracy = 0.9783, Dev Accuracy = 0.9593, Time = 3.14s, Estimated Time Left = 36.66s
After 32500 sentences: Train Accuracy = 0.9744, Dev Accuracy = 0.9599, Time = 3.14s, Estimated Time Left = 33.51s
After 33000 sentences: Train Accuracy = 0.9773, Dev Accuracy = 0.9597, Time = 3.14s, Estimated Time Left = 30.37s
After 33500 sentences: Train Accuracy = 0.9764, Dev Accuracy = 0.9601, Time = 3.14s, Estimated Time Left = 27.20s
After 34000 sentences: Train Accuracy = 0.9753, Dev Accuracy = 0.9593, Time = 3.14s, Estimated Time Left = 24.04s
After 34500 sentences: Train Accuracy = 0.9808, Dev Accuracy = 0.9586, Time = 3.14s, Estimated Time Left = 20.92s
After 35000 sentences: Train Accuracy = 0.9736, Dev Accuracy = 0.9591, Time = 3.14s, Estimated Time Left = 17.77s
After 35500 sentences: Train Accuracy = 0.9731, Dev Accuracy = 0.9597, Time = 3.13s, Estimated Time Left = 14.62s
After 36000 sentences: Train Accuracy = 0.9812, Dev Accuracy = 0.9594, Time = 3.13s, Estimated Time Left = 11.48s
After 36500 sentences: Train Accuracy = 0.9757, Dev Accuracy = 0.9601, Time = 3.13s, Estimated Time Left = 8.34s
After 37000 sentences: Train Accuracy = 0.9796, Dev Accuracy = 0.9592, Time = 3.13s, Estimated Time Left = 5.21s
