After 4000 sentences: Train Accuracy = 0.9859, Dev Accuracy = 0.7351, Time = 3.81s, Estimated Time Left = 83.70s
After 4500 sentences: Train Accuracy = 0.9803, Dev Accuracy = 0.7338, Time = 3.80s, Estimated Time Left = 79.67s
After 5000 sentences: Train Accuracy = 0.9732, Dev Accuracy = 0.7342, Time = 3.78s, Estimated Time Left = 75.53s
After 5500 sentences: Train Accuracy = 0.9906, Dev Accuracy = 0.7346, Time = 3.78s, Estimated Time Left = 71.64s
After 6000 sentences: Train Accuracy = 0.9728, Dev Accuracy = 0.7324, Time = 3.78s, Estimated Time Left = 67.86s
After 6500 sentences: Train Accuracy = 0.9815, Dev Accuracy = 0.7327, Time = 3.79s, Estimated Time Left = 64.39s
After 7000 sentences: Train Accuracy = 0.9891, Dev Accuracy = 0.7348, Time = 3.81s, Estimated Time Left = 60.88s
After 7500 sentences: Train Accuracy = 0.9877, Dev Accuracy = 0.7352, Time = 3.82s, Estimated Time Left = 57.27s
After 8000 sentences: Train Accuracy = 0.9785, Dev Accuracy = 0.7340, Time = 3.84s, Estimated Time Left = 53.65s
After 8500 sentences: Train Accuracy = 0.9791, Dev Accuracy = 0.7358, Time = 3.86s, Estimated Time Left = 50.14s
After 9000 sentences: Train Accuracy = 0.9934, Dev Accuracy = 0.7329, Time = 3.88s, Estimated Time Left = 46.46s
After 9500 sentences: Train Accuracy = 0.9868, Dev Accuracy = 0.7352, Time = 3.89s, Estimated Time Left = 42.65s
After 10000 sentences: Train Accuracy = 0.9843, Dev Accuracy = 0.7342, Time = 3.89s, Estimated Time Left = 38.80s
After 10500 sentences: Train Accuracy = 0.9844, Dev Accuracy = 0.7333, Time = 3.88s, Estimated Time Left = 34.84s
After 11000 sentences: Train Accuracy = 0.9855, Dev Accuracy = 0.7333, Time = 3.88s, Estimated Time Left = 30.91s
After 11500 sentences: Train Accuracy = 0.9897, Dev Accuracy = 0.7309, Time = 3.87s, Estimated Time Left = 26.97s
After 12000 sentences: Train Accuracy = 0.9828, Dev Accuracy = 0.7335, Time = 3.86s, Estimated Time Left = 23.05s
After 12500 sentences: Train Accuracy = 0.9847, Dev Accuracy = 0.7347, Time = 3.85s, Estimated Time Left = 19.16s
After 13000 sentences: Train Accuracy = 0.9915, Dev Accuracy = 0.7307, Time = 3.84s, Estimated Time Left = 15.27s
After 13500 sentences: Train Accuracy = 0.9846, Dev Accuracy = 0.7331, Time = 3.83s, Estimated Time Left = 11.40s
After 14000 sentences: Train Accuracy = 0.9857, Dev Accuracy = 0.7323, Time = 3.83s, Estimated Time Left = 7.55s
After 14500 sentences: Train Accuracy = 0.9857, Dev Accuracy = 0.7335, Time = 3.82s, Estimated Time Left = 3.72s
After 15000 sentences: Train Accuracy = 0.9903, Dev Accuracy = 0.7352, Time = 3.82s, Estimated Time Left = -0.10s
Epoch 5: Train Loss = 6.4985, Dev Loss = 6.4868
Epoch 5: Loss = 6.4868
